Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Wednesday, October 24, 2018
1:56:44 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
bar,C,bar,C,kg/s,kg/s,rpm,bar,bar,kg/s,C,bar,C,bar,C,bar,C,C,kg/s,kg/s,C,bar,bar,kg/s,W,,kW,,C,C
2.629979,17.762022,4.187369,43.110357,12.477461,0.305873,4178.752035,0.875245,3.892840,0.036993,16.035090,2.671902,41.361005,3.887789,36.546741,3.837982,8.548361,3.847780,0.000231,-0.000041,0.000000,-16.362331,3.892564,0.009427,179.999974,0.000660,744.083541,0.000104,21.715455,-0.986518
2.643593,17.538847,4.198818,43.091312,12.477458,0.307472,4172.901737,0.875285,3.902047,0.036996,15.674005,2.685800,41.386217,3.897620,36.631437,3.847034,8.535406,3.856067,0.000231,-0.000040,0.000000,-16.362292,3.901669,0.009433,179.999974,0.000658,736.727693,0.000104,21.215328,-0.876420
2.664041,17.187845,4.216916,43.058948,12.477455,0.309930,4196.226327,0.875267,3.916033,0.056159,15.127941,2.706733,41.417082,3.912955,36.751620,3.861179,8.516724,3.869001,0.000231,-0.000040,0.000000,-16.362311,3.914934,0.036910,179.999974,0.000657,728.430247,0.000104,20.688742,-0.764339
2.685523,16.785199,4.234994,43.020571,12.477452,0.312420,4176.863645,0.875212,3.930738,0.083036,14.580200,2.729308,41.442079,3.928777,36.865855,3.875752,8.500386,3.882455,0.000231,-0.000040,0.000000,-16.362363,3.928993,0.042880,179.999974,0.000656,722.468209,0.000104,20.326455,-0.688079
2.708388,16.325093,4.254928,42.975975,12.477448,0.315001,4197.306587,0.875214,3.946478,0.109752,14.040370,2.752795,41.459014,3.945806,36.973086,3.891602,8.485845,3.897191,0.000231,-0.000040,0.000000,-16.362361,3.944412,0.054185,179.999974,0.000654,713.056750,0.000103,19.767539,-0.570805
2.723804,16.002386,4.268587,42.939074,12.477445,0.316813,4178.773431,0.875166,3.957830,0.125427,13.680585,2.768765,41.466798,3.957992,37.041861,3.902821,8.477283,3.907642,0.000231,-0.000040,0.000000,-16.362408,3.955551,0.058804,179.999974,0.000653,701.409834,0.000103,19.147790,-0.452174
2.747207,15.508275,4.291560,42.866922,12.477442,0.319701,4173.900227,0.875069,3.975648,0.129705,13.141027,2.792598,41.471381,3.976877,37.140119,3.920472,8.461016,3.924198,0.000231,-0.000041,0.000000,-16.362501,3.973409,0.060148,179.999974,0.000651,687.508999,0.000102,18.458066,-0.325899
2.770085,15.007399,4.314055,42.776078,12.477441,0.322713,4199.255896,0.875005,3.994262,0.129710,12.600662,2.816060,41.463407,3.996622,37.232123,3.939006,8.435133,3.941181,0.000231,-0.000041,0.000000,-16.362570,3.992151,0.060456,179.999974,0.000650,677.812781,0.000102,17.981388,-0.238297
2.792641,14.500511,4.336338,42.664280,12.477438,0.325692,4173.873726,0.875016,4.013411,0.129726,12.061634,2.839192,41.444398,4.017049,37.317208,3.958059,8.410268,3.958944,0.000231,-0.000042,0.000000,-16.362563,4.011355,0.060476,179.999974,0.000649,663.277378,0.000102,17.254819,-0.097141
2.807664,14.161899,4.352311,42.581118,12.477437,0.327690,4112.270850,0.875049,4.026570,0.140713,11.705825,2.854473,41.423588,4.031088,37.367717,3.971226,8.396694,3.971190,0.000231,-0.000042,0.000000,-16.362531,4.024100,0.064322,179.999974,0.000649,8134.943919,0.000102,16.528163,0.056440
