Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, November 15, 2018
8:27:28 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,
55.677395,75.447111,160.330379,162.230377,52.981289,56.972430,59.193552,12.932787,157.788753,1.573334,75.705505,56.396565,160.880544,159.687229,158.172767,158.376958,68.095617,157.783856,0.001898,-1.736825,32.000000,-237.074584,158.443614,0.504690,15.115159,0.682858,281037.762294,0.915758,29.625977,40.466361,2.879634
55.700031,75.435015,160.389616,162.222923,52.997443,56.996761,59.172639,12.933852,157.856686,1.339792,75.686013,56.415724,160.868191,159.755415,158.160687,158.442642,68.110592,157.848605,0.001891,-1.736841,32.000000,-237.073542,158.492828,0.425448,15.123030,0.682744,281127.773605,0.915357,29.592893,40.478717,2.879100
55.713127,75.426502,160.438906,162.218906,53.119812,57.012952,59.228287,12.934170,157.900040,1.332932,75.672414,56.428425,160.860849,159.797959,158.152101,158.486463,68.120727,157.891472,0.001892,-1.736856,32.000000,-237.073247,158.536201,0.423870,15.128771,0.682859,281218.357879,0.915175,29.559265,40.491954,2.879631
55.732375,75.412940,160.513070,162.214010,53.201514,57.037412,7.841896,12.934526,157.967862,1.332961,75.649805,56.445583,160.850368,159.863329,158.139672,158.552588,68.135875,157.955963,0.001913,-1.736846,32.000000,-237.072878,158.601652,0.423938,15.130937,0.682705,281307.201525,0.915452,29.525655,40.504988,2.879525
55.751831,75.398290,160.570653,162.210526,53.307320,57.062085,59.169212,12.934506,158.036179,1.332889,75.626098,56.461043,160.840600,159.933112,158.128825,158.621220,68.151382,158.020951,0.001896,-1.736858,32.000000,-237.072865,158.669597,0.423953,15.144253,0.682655,281366.465622,0.914595,29.504699,40.513391,2.879733
55.767656,75.382704,160.643896,162.208364,53.230048,57.086353,59.181190,12.934709,158.103853,1.332907,75.600959,56.475471,160.832619,160.000775,158.119413,158.691551,68.166348,158.088422,0.001890,-1.736573,32.000000,-237.072562,158.736126,0.424006,15.143365,0.682865,281455.716767,6.907857,29.472853,40.526126,2.880069
55.778692,75.371905,160.685448,162.207944,53.321664,57.102641,59.217527,12.935084,158.149174,1.332816,75.584056,56.484966,160.828531,160.047087,158.113083,158.738313,68.176484,158.132734,0.001890,-1.736555,32.000000,-237.072105,158.782541,0.423957,15.146869,0.682505,281544.702192,0.915532,29.439728,40.538707,2.880096
55.791214,75.354979,160.783033,162.208464,53.431360,57.126889,59.180721,12.933542,158.214594,1.332818,75.557643,56.494912,160.823281,160.114948,158.103209,158.803590,68.192190,158.199959,0.001910,-1.736559,32.000000,-237.073733,158.848018,0.423974,15.155005,0.682900,281632.774605,0.915414,29.409115,40.552894,2.880593
55.800714,75.336842,160.845642,162.210138,53.539639,57.151142,59.170874,12.932565,158.289456,1.136698,75.529930,56.503990,160.820895,160.182358,158.095653,158.873165,68.208803,158.268174,0.001913,-1.736555,32.000000,-237.074734,158.947217,0.355881,15.160339,0.682935,281691.295041,0.914889,29.387840,40.561899,2.880768
55.810801,75.317305,160.936808,162.213657,53.632237,57.167429,59.169478,12.932556,158.353857,1.294580,75.500754,56.513674,160.818375,160.250981,158.087767,158.944296,68.224462,158.337681,0.001908,-1.736569,32.000000,-237.074623,158.995420,0.414601,15.168476,0.683055,281777.866987,0.915581,29.359031,40.575225,2.881870
