Torad 40 Ton Compressor Load Stand
C Bradshaw
Measured on:
Wednesday, September 5, 2018
1:20:32 PM

6
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min
-0.865701,19.583675,0.315990,414.694298,-0.900266,-1.262071,0.000000,376.404222,0.112507,-0.731424,19.554681,-250.001533,19.346696,0.395667,19.376894,0.229189,19.407654,0.251330,0.051662,-0.540385,-0.597658,0.586868,-2.634610,0.986218
-0.868024,19.583688,0.314272,363.873715,-0.900119,-1.261715,0.000000,376.537398,0.111764,-0.735283,19.554607,-250.001597,19.346761,0.395558,19.376853,0.228846,19.407513,0.250514,0.051787,-0.539719,-0.595863,0.587733,-2.634348,0.986219
-0.870173,19.583691,0.315153,363.873715,-0.901137,-1.261269,0.000000,378.068794,0.112327,-0.732142,19.554415,-250.001657,19.346645,0.395311,19.376725,0.228944,19.407525,0.250512,0.051782,-0.540706,-0.596715,0.588331,-2.633741,0.986214
-0.870725,19.583675,0.315374,338.463424,-0.897193,-1.260228,0.000000,376.415359,0.112974,-0.734872,19.554432,-250.001662,19.346688,0.394859,19.376888,0.229612,19.408032,0.248968,0.051833,-0.540982,-0.595711,0.589044,-2.633643,0.986207
-0.868829,19.583710,0.315823,389.284007,-0.892254,-1.258653,0.000000,377.977478,0.111546,-0.731056,19.554474,-250.001660,19.346731,0.395478,19.376902,0.228215,19.408222,0.248130,0.051810,-0.540821,-0.593817,0.589611,-2.632971,0.986210
-0.866075,19.583727,0.317402,414.694298,-0.898976,-1.258355,0.000000,376.539394,0.109927,-0.735336,19.554458,-250.001615,19.346823,0.394488,19.376836,0.227073,19.408190,0.247247,0.052163,-0.539605,-0.593127,0.588794,-2.632709,0.986211
-0.865450,19.583742,0.317769,414.694298,-0.900040,-1.258980,0.000000,376.384731,0.109055,-0.731920,19.554391,-250.001544,19.346833,0.393901,19.376835,0.229005,19.408347,0.247188,0.052159,-0.539811,-0.593096,0.590263,-2.632037,0.986212
-0.865754,19.583771,0.319642,363.873715,-0.901316,-1.257166,0.000000,376.459405,0.107512,-0.731667,19.554694,-250.001582,19.346978,0.393542,19.376808,0.230418,19.408675,0.245777,0.052177,-0.539811,-0.591739,0.590662,-2.631938,0.986205
-0.867350,19.583765,0.320537,313.053133,-0.900101,-1.257434,0.000000,376.390998,0.108687,-0.732778,19.554541,-250.001592,19.346983,0.393147,19.376860,0.228758,19.408870,0.245606,0.052097,-0.539490,-0.591442,0.592638,-2.631463,0.986208
-0.867803,19.583783,0.321619,236.822259,-0.900030,-1.257850,0.000000,376.399914,0.109160,-0.732053,19.554400,-250.001583,19.346946,0.391533,19.376609,0.229217,19.408477,0.246350,0.052101,-0.538618,-0.590172,0.594187,-2.631021,0.986205
