Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Friday, November 2, 2018
5:10:55 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
bar,C,bar,C,kg/s,kg/s,rpm,bar,bar,kg/s,C,bar,C,bar,C,bar,C,C,kg/s,kg/s,C,bar,bar,kg/s,W,,kW,,C,C
3.179565,41.071262,4.443917,62.901245,0.144875,0.234046,0.000000,0.869240,4.275364,0.056405,42.724666,3.207287,61.288079,4.251445,56.422641,4.214464,12.404758,4.249926,-0.000869,0.000110,0.000000,-16.368054,4.304832,0.000188,-40.001309,-0.000951,NaN,Inf,39.127799,-1.724930
3.196065,41.096148,4.422269,62.901394,0.137890,0.226884,0.000000,0.869238,4.260370,0.056677,42.744849,3.223223,61.287237,4.234559,56.411090,4.199279,12.291608,4.235887,-0.000823,0.000110,0.000000,-16.368053,4.289815,0.000071,-40.001306,-0.000873,NaN,Inf,38.952665,-1.690250
3.220863,41.130547,4.391449,62.894915,0.127640,0.216372,0.000000,0.869253,4.238286,0.057940,42.770935,3.247265,61.282050,4.209580,56.392171,4.176982,12.121247,4.215259,-0.000774,0.000110,0.000000,-16.368028,4.267656,0.000362,-40.001299,-0.000799,NaN,Inf,38.774811,-1.661823
3.245853,41.161858,4.360244,62.881740,0.117514,0.205830,0.000000,0.869233,4.216950,0.058593,42.793318,3.271512,61.272089,4.185002,56.366973,4.155046,11.948057,4.194604,-0.000740,0.000110,0.000000,-16.368041,4.247616,0.001071,-40.001254,-0.000751,NaN,Inf,38.653997,-1.648292
3.274929,41.190033,4.334588,62.860242,0.108162,0.196870,0.000000,0.869262,4.201627,0.058028,42.812981,3.300713,61.258120,4.165914,56.331481,4.138774,11.781717,4.179529,-0.000701,0.000110,0.000000,-16.368005,4.232073,0.000758,-40.001197,-0.000683,NaN,Inf,38.470512,-1.624760
3.306183,41.216314,4.311651,62.832664,0.099489,0.188160,0.000000,0.869230,4.187801,0.062051,42.829971,3.331065,61.241195,4.149043,56.267252,4.124384,11.631429,4.166218,-0.000656,0.000110,0.000000,-16.368036,4.218778,-0.000760,-40.001154,-0.000618,NaN,Inf,38.283548,-1.599140
3.326729,41.232321,4.295492,62.810677,0.093753,0.181477,0.000000,0.869223,4.178584,0.063761,42.840161,3.351143,61.227787,4.137787,56.201182,4.115003,11.539659,4.157347,-0.000659,0.000110,0.000000,-16.368039,4.209819,-0.000640,-40.001135,-0.000561,NaN,Inf,38.059371,-1.540857
3.357237,41.255568,4.272590,62.772402,0.085442,0.171487,0.000000,0.869230,4.164480,0.065709,42.854324,3.380831,61.205039,4.121033,56.077256,4.100907,11.407693,4.144272,-0.000644,0.000110,0.000000,-16.368017,4.195939,-0.000126,-40.001103,-0.000507,NaN,Inf,37.816309,-1.486225
3.387337,41.278126,4.248634,62.728558,0.077532,0.161528,0.000000,0.869228,4.149969,0.066431,42.867109,3.410083,61.179380,4.103641,55.931470,4.086181,11.283574,4.130640,-0.000607,0.000110,0.000000,-16.368019,4.181883,0.000684,-40.001014,-0.000470,NaN,Inf,37.656319,-1.458338
3.416917,41.299144,4.225163,62.677102,0.069898,0.151709,0.000000,0.869272,4.135427,0.068904,42.875625,3.438987,61.149440,4.086120,55.767144,4.071455,11.176641,4.116999,-0.000563,0.000110,0.000000,-16.367973,4.167744,0.001425,-40.001130,-0.000419,NaN,Inf,37.419761,-1.420716
3.436700,41.311871,4.210363,62.639106,0.064911,0.145193,0.000000,0.869449,4.125685,0.069950,42.879768,3.458235,61.127509,4.074657,55.652611,4.061833,11.107251,4.107961,-0.000534,0.000110,0.000000,-16.367790,4.158287,0.001855,-40.001137,-0.000371,NaN,Inf,37.187758,-1.395199
3.465992,41.329047,4.186657,62.576574,0.057678,0.135449,0.000000,0.869762,4.111041,0.071602,42.882333,3.486833,61.091452,4.057337,55.475156,4.047180,11.007507,4.094519,-0.000491,0.000110,0.000000,-16.367475,4.143700,0.002566,-40.001263,-0.000326,NaN,Inf,36.960291,-1.387181
3.495324,41.342982,4.163360,62.505981,0.050690,0.125767,0.000000,0.870182,4.096687,0.074316,42.881561,3.515474,61.050350,4.040218,55.290651,4.032849,10.906841,4.081126,-0.000448,0.000110,0.000000,-16.367048,4.129459,0.003147,-40.001263,-0.000298,NaN,Inf,36.807754,-1.383469
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
