Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL,Speed2,Power2,,,,,
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,g,g,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,Hz,kW,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File
49.78389,59.736757,138.932991,143.854737,110.37785,98.678864,29.163625,14.225542,135.850639,1.991219,59.200328,50.646008,142.484843,138.9545,140.446385,135.78373,95.885523,133.725169,-0.000782,0.001245,32,-235.782097,136.046988,-0.025262,-40.000974,-0.421419,417549.2858,0.983143,19.695118,1.638441,2.79073,0.061697,0.07397,167.529158,32,183.426653,168.504385,169.981388,150.404456,32,145.938872,67.558896,64.757419,88.936217,8,36.538059,62.250614,79.380064,55.657165,23.548923,59.569396,36.562891,,1,Spool-0081,1,01.16.01-Thu.05.30.2019.csv
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post Oil Separator Addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.773041,60.03382,138.852265,144.179675,101.816431,98.840329,29.163336,14.2539,138.627606,1.405848,59.724076,50.625262,142.758805,138.913785,141.179551,138.727738,96.018475,137.057656,-0.000741,0.001429,32,-235.753764,138.884645,-0.150298,-40.000978,-0.422323,418426.5757,0.985778,20.000455,3.123339,2.789704,0.06243,0.07659,167.958514,32,182.826763,168.541551,161.010116,150.775073,32,146.458324,67.2818,62.71983,90.758089,0.281321,51.740504,70.873418,60.061648,33.3,28.581798,59.559143,36.594653,,1,Spool-0081,1,15.15.07-Thu.05.30.2019.csv
49.794451,59.841642,161.182958,155.602797,99.332616,97.631566,29.092467,14.246013,161.326498,2.633497,58.744172,50.688311,153.968005,161.867896,152.260579,161.502403,106.442734,159.951367,-0.000736,0.00154,32,-235.761661,161.5361,-0.025016,-40.001028,-0.477974,394085.05,0.975133,19.786295,3.077972,3.236934,0.077538,0.102545,183.399192,32,201.225006,182.048972,164.950096,163.849236,32,158.3081,67.716534,63.560034,99.135371,0,44.39257,55.949367,50.929725,30.556962,58.356486,59.581722,39.889047,,1,Spool-0081,1,16.39.58-Thu.05.30.2019.csv
49.783881,59.982627,186.213212,168.575023,111.665868,95.280892,29.015745,14.237122,186.572443,3.563615,57.949281,50.609363,166.759319,187.513414,164.826053,186.914314,117.235738,185.42154,-0.000736,-1.728497,32,-235.770479,186.794219,-0.02496,-40.00103,-0.524523,365585.1243,0.954756,19.939208,2.594976,3.740472,0.068159,0.077888,201.799006,32,221.615507,196.458688,133.814622,179.363006,32,172.994096,67.658175,65.251379,107.275655,0.141096,41.011034,55.949367,31.552304,32.556962,65.953476,59.625477,43.406147,,1,Spool-0081,1,17.35.21-Thu.05.30.2019.csv
49.780497,59.692456,213.43568,181.996316,108.532074,92.610885,28.93517,14.228922,214.095918,3.812023,56.686555,50.572604,180.191881,215.459745,178.065169,214.368726,127.509338,212.906924,-0.000732,-1.696417,32,-235.778713,214.208811,-0.02492,-40.001073,-0.562228,337192.0202,0.929933,19.651185,2.317043,4.287541,0.057892,0.067732,221.847413,32,236.462758,208.801625,108.916511,195.633218,32,187.707272,68.363459,68.734915,115.113526,12.911392,47.261777,35.189873,43.26724,27.17896,30.237122,59.611254,46.890758,,1,Spool-0081,1,18.58.11-Thu.05.30.2019.csv
54.787347,65.082099,138.780153,142.518287,111.595124,108.864956,29.162556,14.227104,138.163048,0.724649,64.621945,55.864606,141.175691,138.683704,139.786606,138.390614,96.045745,136.124989,-0.000715,0.002026,32,-235.78156,138.607578,-0.211773,24.805443,0.679564,464494.4513,0.989942,20.045585,2.645955,2.533096,0.049109,0.040107,164.512134,32,178.714649,166.20038,167.166037,149.085131,32,144.457316,67.60263,64.475742,89.884175,3.152144,54.875377,87.13597,74.543221,31.186884,49.945861,59.569538,36.909379,,1,Spool-0081,1,22.24.01-Sun.06.02.2019.csv
54.792057,64.938443,161.190077,150.626228,120.755615,107.351459,29.478435,14.221514,160.776474,2.670728,61.053705,55.904917,149.293571,161.571236,147.932311,161.191533,106.741762,158.943218,-0.000701,0.002069,32,-235.786995,160.884327,-0.235133,27.861787,0.693198,436207.4005,0.965685,19.898015,2.346046,2.941961,0.30092,0.396749,176.893112,32,192.708894,174.072561,176.881129,158.73828,32,153.253273,67.550304,63.306543,98.190337,3.620253,44.39288,61.74408,54.938454,24.746835,46.316792,59.58994,40.087327,,1,Spool-0081,1,16.02.06-Mon.06.03.2019.csv
54.78882,65.31034,213.4764,179.1891,116.2575,101.841,28.92914,14.2473,213.7592,1.537336,62.51527,55.74287,177.2434,215.3469,175.2541,214.2487,103.2457,212.4505,-0.00069,0.002521,32,-235.761,214.0686,-0.02489,34.71867,0.666328,422051,0.934102,20.27241,26.42237,3.896437,0.051275,0.035432,219.6185,32,235.4551,205.8027,139.3575,191.1368,32,183.8451,67.78838,66.68911,116.4909,17.01266,49.99291,45.12658,49.62456,21.87342,16.77544,59.59498,47.26305,,1,Spool-0081,1,05.03.55-Tue.06.04.2019.csv
54.785,65.01902,185.9647,164.9244,118.4593,105.0512,29.02079,14.24571,186.0107,1.410197,62.85271,55.83327,163.2579,187.1966,161.5486,186.4251,92.2541,184.5707,-0.0007,-1.09889,32,-235.763,186.4085,-0.02478,30.95317,0.69218,456534.6,0.959865,19.98737,27.25127,3.394625,0.041631,0.01857,196.2865,32,214.2872,191.5278,180.1923,174.2238,32,168.0377,67.89008,64.1562,107.1476,5.852952,43.93584,45.12658,69.57851,17.87342,17.37476,59.62035,43.35984,,1,Spool-0081,1,06.53.53-Tue.06.04.2019.csv
54.82838,64.85059,119.1043,131.4346,121.4162,110.1245,29.22774,14.23093,117.7939,0.583575,64.5675,55.89329,130.2784,118.185,129.0966,117.8536,71.3033,115.594,-0.0007,-0.15102,32,-235.778,118.2792,-0.0248,21.77177,0.652092,521381.2,0.997713,19.77536,16.84714,2.172296,0.051906,0.052675,149.9107,32,162.2245,151.9561,152.689,136.222,32,132.9774,67.49032,59.20879,82.20387,4.801598,44.57168,83.78564,64.6145,17.87342,18.77392,59.54089,33.90185,,1,Spool-0081,1,08.10.29-Tue.06.04.2019.csv
54.78876,65.33023,101.48,120.2307,114.1145,110.9223,29.30899,14.18564,99.74647,-0.00093,65.47393,55.82854,119.214,99.86049,118.1614,99.62384,63.00228,97.08403,-0.0007,0.002348,32,-235.823,100.2602,-0.02484,18.17813,0.624424,543331.3,1.004248,20.29284,14.35955,1.852201,0.066607,0.042468,135.6192,32,146.3309,135.6147,137.6788,123.5823,32,121.1708,66.83444,56.38123,72.94933,24.01266,36.6999,83.78564,67.83141,17.87342,19.40237,59.55617,30.14292,,1,Spool-0081,1,09.24.33-Tue.06.04.2019.csv
