Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, November 29, 2018
12:44:32 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F
55.636123,74.802820,161.339575,161.878762,62.719801,57.041784,59.163704,12.776319,158.488537,1.343579,74.782605,56.203643,160.334912,160.625481,157.535962,159.283690,68.522839,158.833258,0.001938,0.014574,32.000000,-237.230617,159.491685,0.414549,15.207751,0.682817,280875.169229,0.915488,28.957399,40.491037,2.895844,69.580369,96.090132,54.776972
55.604549,74.772894,161.372951,161.917534,62.676708,57.017434,59.204844,12.774872,158.548868,1.359263,74.745665,56.171989,160.363409,160.684073,157.548407,159.342177,68.535595,158.893482,0.001932,0.014591,32.000000,-237.232009,159.551383,0.416253,15.213623,0.683043,280775.942815,0.915610,28.955805,40.501884,2.898074,69.580929,96.092129,54.779413
55.574170,74.743751,161.424960,161.957404,62.727750,56.993089,59.202521,12.775257,158.605210,1.359273,74.709826,56.140089,160.393452,160.741083,157.562297,159.400490,68.548272,158.952672,0.001920,0.014586,32.000000,-237.231623,159.608480,0.416369,15.217714,0.682938,280629.342344,0.915983,28.954214,40.517611,2.899907,69.581183,96.094998,54.781317
55.552191,74.724513,161.446030,161.984329,62.683457,56.976928,59.186923,12.774534,158.640329,1.359421,74.686815,56.117197,160.414898,160.777066,157.572765,159.437451,68.556261,158.987070,0.001918,0.014595,32.000000,-237.232306,159.643792,0.416468,15.223676,0.682882,280482.151460,0.915456,28.954323,40.530776,2.902154,69.581771,96.097214,54.782296
55.519434,74.696009,161.521833,162.024948,62.686009,56.952520,59.262153,12.774947,158.693687,1.359418,74.652655,56.085138,160.448014,160.828929,157.589116,159.489491,68.568002,159.040246,0.001935,0.014588,32.000000,-237.231920,159.694337,0.416162,15.225129,0.682964,280335.274200,0.915582,28.954089,40.543570,2.904676,69.582398,96.101423,54.783397
55.484742,74.668204,161.580271,162.065812,62.667455,56.928178,59.186941,12.775010,158.741521,1.359513,74.619263,56.053545,160.481359,160.877828,157.606343,159.537339,68.579594,159.088816,0.001943,0.014617,32.000000,-237.231857,159.742592,0.416401,15.229459,0.682847,280239.146961,0.915917,28.955777,40.550380,2.906205,69.582642,96.106086,54.783990
55.451177,74.641100,161.588280,162.106983,62.604036,56.903859,59.167433,12.775208,158.791773,1.174582,74.588465,56.019872,160.515433,160.924818,157.624792,159.581967,68.591192,159.134661,0.001929,0.014648,32.000000,-237.231671,159.815552,0.351371,15.232103,0.683169,280094.370346,0.914888,28.958468,40.561511,2.909285,69.583165,96.111748,54.784772
55.427184,74.623608,161.591351,162.134563,62.655833,56.887698,59.201098,12.775042,158.820016,1.084042,74.568501,55.996105,160.538889,160.953554,157.638595,159.609845,68.599201,159.162429,0.001928,0.014649,32.000000,-237.231794,159.845485,0.328187,15.232365,0.683331,279950.995332,0.916223,28.963719,40.570806,2.912157,69.584024,96.116103,54.786110
55.392295,74.598024,161.628817,162.176204,62.623953,56.863002,59.176587,12.774612,158.859961,1.079727,74.539843,55.960520,160.574400,160.991157,157.658415,159.647987,68.610189,159.202584,0.001927,0.014652,32.000000,-237.232198,159.882031,0.328359,15.234638,0.683343,279807.976631,0.916679,28.968609,40.578917,2.914064,69.584370,96.122619,54.787274
55.358312,74.573492,161.673570,162.217538,62.506088,56.826503,59.162260,12.774312,158.895222,1.079723,74.512008,55.928158,160.609933,161.026829,157.678167,159.682653,68.620233,159.237526,0.001946,0.014630,32.000000,-237.232490,159.914904,0.328259,15.232091,0.683442,279713.356588,0.916292,28.973999,40.582844,2.915381,69.584548,96.128842,54.787410
